date,ARA_NDMI,BSU_NDMI,WEEDS_NDMI,ARA_GNDVI,BSU_GNDVI,WEEDS_GNDVI
2022-07-12,-0.015013515949249268,-0.01704774796962738,-0.07791410386562347,-0.0109577476978302,-0.021559447050094604,-0.07322639226913452
2022-07-17,-0.007575735449790955,-0.015610039234161377,0.00606459379196167,0.026943162083625793,0.011851862072944641,0.016703814268112183
2022-07-22,-0.02357594668865204,-0.017093747854232788,-0.07718981802463531,-0.06377136707305908,-0.0853731632232666,-0.08092617988586426
2022-07-27,0.003256469964981079,-0.06649822741746902,-0.019169330596923828,0.13361060619354248,0.04228915274143219,0.2294812798500061
2022-08-01,0.07519563287496567,0.07250974327325821,0.04558379203081131,-0.0032517164945602417,0.02616383135318756,0.012807846069335938
2022-08-06,-0.04286029934883118,-0.049837179481983185,-0.07359032705426216,-0.049348801374435425,-0.06404799222946167,-0.09102825820446014
2022-08-11,0.07434631884098053,0.06355531513690948,0.018930986523628235,0.05376484990119934,0.030116885900497437,-0.00992584228515625
2022-08-16,0.07880266010761261,0.05291934311389923,0.04064472019672394,0.0938391387462616,0.0694814920425415,0.013257592916488647
2022-08-21,0.08520068228244781,0.054267436265945435,0.0414639413356781,0.06005650758743286,0.024264663457870483,0.008005231618881226
2022-08-26,0.0674428790807724,0.026634663343429565,0.04367922246456146,0.03908795118331909,0.0025540590286254883,0.003352522850036621
2022-08-31,0.021232590079307556,0.014511361718177795,0.03467084467411041,0.012771308422088623,-0.0004682689905166626,0.016995131969451904
2022-09-05,,,,,,
2022-09-10,0.0006073415279388428,0.03951448202133179,0.03399784862995148,0.003513723611831665,0.02049076557159424,0.009029954671859741
2022-09-15,,,,,,
2022-09-20,,,,,,
2022-09-25,-0.012729506939649582,0.019353598356246948,0.0841595008969307,0.029569029808044434,0.0659523755311966,0.06503832340240479
2022-09-30,,,,,,
2022-10-05,,,,,,
2022-10-10,,,,,,
2022-10-15,0.001172080636024475,0.006603509187698364,0.017216280102729797,-0.012521982192993164,-0.017786413431167603,-0.009230971336364746
2022-10-20,,,,,,
2022-10-25,,,,,,
2022-10-30,-0.018971070647239685,-0.04228672385215759,0.02062094211578369,0.026975184679031372,0.025692373514175415,0.06406751275062561
2022-11-04,-0.038076311349868774,-0.08459220454096794,0.030805200338363647,-0.049774169921875,-0.08142489194869995,-0.009021788835525513
2022-11-09,,,,,,
2022-11-14,-0.06047579646110535,-0.11621851101517677,0.03665539622306824,-0.06704804301261902,-0.09823814034461975,-0.0046912431716918945
2022-11-19,,,,,,
2022-11-24,-0.05266430228948593,-0.03804171830415726,0.05672045052051544,-0.0361553430557251,-0.008691936731338501,0.009416192770004272
2022-11-29,-0.06455080211162567,-0.12176306475885212,0.06876853853464127,-0.053460657596588135,-0.0730026364326477,0.008393019437789917
2022-12-04,0.005350284278392792,0.007823005318641663,0.02281235158443451,0.014251619577407837,0.012222394347190857,0.03624427318572998
2022-12-09,-0.07280560582876205,-0.004754580557346344,0.06510506570339203,-0.021229460835456848,0.047039806842803955,0.020106345415115356
2022-12-14,-0.03319692891091108,-0.023283981950953603,0.1007079016417265,-0.02144131064414978,0.007677644491195679,0.0345245897769928
